[1.6099771251103774, 0.23873981833457947]
epoch=230, time=1.085952 s[0.7322985737824379, 0.04836553893983364]
epoch=231, time=0.767060 s[0.6985040482410706, 0.046821821480989456]
epoch=232, time=0.996609 s[0.6898401476020876, 0.047925857827067375]
epoch=233, time=0.881335 s[0.7397035511223646, 0.04837283305823803]
epoch=234, time=0.952271 s[0.7544899355125017, 0.048006247729063034]
epoch=235, time=0.843160 s[0.7064768619000728, 0.04925161227583885]
epoch=236, time=0.840544 s[0.7275514491669487, 0.04912508279085159]
epoch=237, time=0.838493 s[0.7043337440478276, 0.05123238265514374]
epoch=238, time=0.840077 s[0.758594623996951, 0.050071198493242264]
epoch=239, time=0.836999 s[0.7442231187133177, 0.04985492117702961]
epoch=240, time=1.025625 s[0.6944142231918594, 0.050291988998651505]
epoch=241, time=0.757204 s[0.7113491205424369, 0.04894636757671833]
epoch=242, time=0.837358 s[0.7162811849778427, 0.04737435653805733]
epoch=243, time=0.839628 s[0.7555698231039096, 0.04860007390379906]
epoch=244, time=0.831634 s[0.7254159608527386, 0.05102190375328064]
epoch=245, time=0.870519 s[0.725027670578283, 0.04840744473040104]
epoch=246, time=0.835691 s[0.6956789213890383, 0.049944840371608734]
epoch=247, time=0.840064 s[0.7183954511900341, 0.04937576316297054]
epoch=248, time=0.839595 s[0.6938898964889332, 0.05255354754626751]
epoch=249, time=0.842043 s[0.6681582440713475, 0.05123738572001457]
epoch=250, time=1.023991 s[0.6923023818830042, 0.05000756122171879]
epoch=251, time=0.759729 s[0.6888990592070992, 0.047319620847702026]
epoch=252, time=0.835548 s[0.6963511322930926, 0.049235548824071884]
epoch=253, time=0.840302 s[0.6727603386226153, 0.04867785610258579]
epoch=254, time=0.841881 s[0.6786684009979216, 0.04815193638205528]
epoch=255, time=0.862649 s[0.6919241660888241, 0.05014985427260399]
epoch=256, time=0.850686 s[0.7390626074576299, 0.04901121184229851]
epoch=257, time=0.838795 s[0.7259699837756965, 0.05105235055088997]
epoch=258, time=0.842874 s[0.6840023225338563, 0.04942495375871658]
epoch=259, time=0.836363 s[0.7179014870861553, 0.05026635155081749]
epoch=260, time=1.031087 s[0.6881733118930387, 0.04954410158097744]
epoch=261, time=0.764654 s[0.6906391718045359, 0.04683295078575611]
epoch=262, time=0.842464 s[0.6962732072742174, 0.04851356893777847]
epoch=263, time=0.840892 s[0.6751201278568193, 0.048108628019690514]
epoch=264, time=0.837352 s[0.6715307498914587, 0.04915208742022514]
epoch=265, time=0.878868 s[0.7315156628707862, 0.049949126318097115]
epoch=266, time=0.840459 s[0.750795444499256, 0.048885688185691833]
epoch=267, time=0.846444 s[0.6692129235923144, 0.04780710116028786]
epoch=268, time=0.838534 s[0.68022666942181, 0.04984406195580959]
epoch=269, time=0.841067 s[0.6644329138454783, 0.050105851143598557]
epoch=270, time=1.049862 s[0.6549896294260181, 0.04746048338711262]
epoch=271, time=0.768690 s[0.6859239851782075, 0.048154545947909355]
epoch=272, time=0.838855 s[0.6969532055464104, 0.046509409323334694]
epoch=273, time=0.839306 s[0.7519509285769206, 0.04802348092198372]
epoch=274, time=0.840214 s[0.9364216424743452, 0.04741808772087097]
epoch=275, time=0.880620 s[1.0990312360187657, 0.04062405042350292]
epoch=276, time=0.847713 s[1.865013020437018, 0.03229266218841076]
epoch=277, time=0.840381 s[1.6819730387643694, 0.021436483599245548]
epoch=278, time=0.847384 s[1.471773355077107, 0.023777183145284653]
epoch=279, time=0.845689 s[1.115390157570451, 0.02541609015315771]
epoch=280, time=1.031049 s[1.0118800381770436, 0.0288248211145401]
epoch=281, time=0.759091 s[0.9387385726613834, 0.030946094542741776]
epoch=282, time=0.844017 s[0.8760935888206325, 0.03521386720240116]
epoch=283, time=0.840990 s[0.8749194674793732, 0.034722691401839256]
epoch=284, time=0.849520 s[0.8438698729863128, 0.03513994254171848]
epoch=285, time=0.865663 s[0.8107512934884943, 0.037915702909231186]
epoch=286, time=0.841961 s[0.8239263706211173, 0.03817017748951912]
epoch=287, time=0.844170 s[0.7801287327999067, 0.0407322496175766]
epoch=288, time=0.842188 s[0.765537969468694, 0.04178203456103802]
epoch=289, time=0.841877 s[0.8018337176420551, 0.044069234281778336]
epoch=290, time=1.037099 s[0.7678887264381924, 0.042992882430553436]
epoch=291, time=0.758673 s[0.7744079617166385, 0.04382274113595486]
epoch=292, time=0.839551 s[0.7172359649038933, 0.04418248124420643]
epoch=293, time=0.836028 s[0.7126926005925129, 0.0448713731020689]
epoch=294, time=0.847420 s[0.7497078516265072, 0.042423591017723083]
epoch=295, time=0.875348 s[0.7095732714060925, 0.04570905864238739]
epoch=296, time=0.842602 s[0.788225160426294, 0.04415733180940151]
epoch=297, time=0.838102 s[0.6980440481229839, 0.04476412013173103]
epoch=298, time=0.839454 s[0.7053739574143092, 0.04626999795436859]
epoch=299, time=0.843683 s[0.7051015935218716, 0.0433252789080143]
epoch=300, time=1.098929 s[0.7239584399611398, 0.04419073276221752]
epoch=301, time=0.759157 s[0.7038664707590379, 0.04632961004972458]
epoch=302, time=0.843532 s[0.694932532032293, 0.048207275569438934]
epoch=303, time=0.846285 s[0.6800006322391678, 0.04798373207449913]
epoch=304, time=0.870982 s[0.6803543095009768, 0.04646651819348335]
epoch=305, time=0.845695 s[0.6603189316769579, 0.04524579457938671]
epoch=306, time=0.839154 s[0.7466133634755205, 0.045240774750709534]
epoch=307, time=0.845576 s[0.6644968811211116, 0.04766932688653469]
epoch=308, time=0.839728 s[0.657147224364661, 0.047448644414544106]
epoch=309, time=0.843592 s[0.6773021388300422, 0.0473623052239418]
epoch=310, time=1.040433 s[0.6854810148260819, 0.046532122418284416]
epoch=311, time=0.772134 s[0.6656085745440663, 0.04615204781293869]
epoch=312, time=0.842535 s[0.6919194418642309, 0.04569760337471962]
epoch=313, time=0.840907 s[0.7155474032141133, 0.0452100932598114]
epoch=314, time=0.846538 s[0.7064241359845398, 0.0484134703874588]
epoch=315, time=0.879698 s[0.7137436239127779, 0.04796365275979042]
epoch=316, time=0.846205 s[0.6778687024517314, 0.04566599056124687]
epoch=317, time=0.847630 s[0.6794467651963214, 0.045783255249261856]
epoch=318, time=0.837138 s[0.6825555409654764, 0.046739254146814346]
epoch=319, time=0.847738 s[0.6731620828765517, 0.04576768912374973]
epoch=320, time=1.033126 s[0.6805321391961777, 0.0459775160998106]
epoch=321, time=0.757526 s[0.6757367274761494, 0.04538007080554962]
epoch=322, time=0.850576 s[0.7522069167324679, 0.047648513689637184]
epoch=323, time=0.842684 s[0.7114306976774866, 0.045028913766145706]
epoch=324, time=0.844209 s[0.7163533049111193, 0.04643907956779003]
epoch=325, time=0.873044 s[0.6994899754411672, 0.04764229245483875]
epoch=326, time=0.842210 s[0.6720600428845295, 0.047010308131575584]
epoch=327, time=0.843321 s[0.6470081278071346, 0.0476886760443449]
epoch=328, time=0.842075 s[0.6615433181083351, 0.04584507271647453]
epoch=329, time=0.838551 s[0.6814243608348708, 0.04710537753999233]
epoch=330, time=1.020267 s[0.6562647169056565, 0.04515417665243149]
epoch=331, time=0.756613 s[0.6601595699026931, 0.04904998280107975]
epoch=332, time=0.842674 s[0.6596229515201236, 0.04739524610340595]
epoch=333, time=0.839034 s[0.6438779521345386, 0.04676908440887928]
epoch=334, time=0.854508 s[0.6724607019394803, 0.0470066349953413]
epoch=335, time=0.871679 s[0.6753150047189158, 0.044940318912267685]
epoch=336, time=0.843234 s[0.6749064251601473, 0.04611155018210411]
epoch=337, time=0.846692 s[0.6652917170116597, 0.04643473029136658]
epoch=338, time=0.847439 s[0.7221234565715131, 0.046615634113550186]
epoch=339, time=0.844774 s[0.6728832518318619, 0.047009535133838654]
epoch=340, time=1.035356 s[0.6588662772568618, 0.04579068161547184]
epoch=341, time=0.773330 s[0.6470143043467579, 0.04602636769413948]
epoch=342, time=0.848806 s[0.67728206114563, 0.04445488378405571]
epoch=343, time=0.879772 s[0.6927908009292195, 0.04704592376947403]
epoch=344, time=0.917041 s[0.6521200209112428, 0.046242401003837585]
epoch=345, time=0.880247 s[0.6528244495450402, 0.04529342241585255]
epoch=346, time=0.973297 s[0.6953908115437296, 0.046579159796237946]
epoch=347, time=0.864470 s[0.6425712710572173, 0.044802477583289146]
epoch=348, time=0.838361 s[0.6645003518698627, 0.04729150049388409]
epoch=349, time=0.895099 s[0.6403466181459216, 0.04600110650062561]
epoch=350, time=1.038596 s[0.6488072942627086, 0.04701662063598633]
epoch=351, time=0.768286 s[0.6717106570635499, 0.046964921057224274]
epoch=352, time=0.841408 s[0.6572385330781101, 0.048278333619236946]
epoch=353, time=0.841234 s[0.650856657018172, 0.04569734260439873]
epoch=354, time=0.838580 s[0.6615954550855884, 0.04755355603992939]
epoch=355, time=0.872597 s[0.6533341821635701, 0.046171773225069046]
epoch=356, time=0.850555 s[0.7124198432905953, 0.04986133053898811]
epoch=357, time=0.843543 s[0.7177205146294724, 0.04734956845641136]
epoch=358, time=0.839368 s[0.6549460662916915, 0.04728490673005581]
epoch=359, time=0.845628 s[0.6690581778906977, 0.047626713290810585]
epoch=360, time=1.031137 s[0.6591675246255881, 0.046864209696650505]
epoch=361, time=0.766928 s[0.6460035494627763, 0.046840015798807144]
epoch=362, time=0.842040 s[0.6580238297501408, 0.04604548402130604]
epoch=363, time=0.841614 s[0.7037667743991962, 0.04714475944638252]
epoch=364, time=0.854518 s[0.6600127066020061, 0.04721796326339245]
epoch=365, time=0.872259 s[0.6444992475781007, 0.047483205795288086]
epoch=366, time=0.843068 s[0.6579742161429564, 0.045612871646881104]
epoch=367, time=0.853890 s[0.6487383157036226, 0.047542812302708626]
epoch=368, time=0.846358 s[0.6715458788269351, 0.04555004835128784]
